" país"," ciudad","código"," nombre"
"Alemania","Berlín","TXL","Tegel"
"Alemania","Berlín","THF","Tempelhof"
"Alemania","Berlín","SXF","Schonefeld"
"Alemania","Colonia","CGN","Colonia"
"Alemania","Dusseldorf","DUS","Dusseldorf"
"Alemania","Frankfurt","FRA","Frankfurt Int."
"Alemania","Hamburgo","HAM","Fuhlsbuettel"
"Alemania","Munich","MUC","Franz Strauss"
"Alemania","Stuttgart","STR","Echterdingen"
"Angola","Luanda","LAD","4 de Fevereiro"
"Antillas Hol.","Curacao","CUR","Apto. Hato"
"Antigua","Antigua","ANU","V. C. Bird Int."
"Argelia","Argel","ALG","Houari-Boumedienne"
"Argentina","Buenos Aires","BUE","Ezeiza"
"Aruba","Aruba","AUA","Reina Beatrix"
"Australia","Melbourne","MEL","Tullamarine"
"Australia","Sydney","SYD","Kingsford Smith"
"Austria","Graz","GRZ","Thalerhof"
"Austria","Viena","VIE","Viena Int."
"Bahamas","Nassau","NAS","International"
"Bahamas","Nassau","PID","Paradise Island"
"Barbados","Barbados","BGI","G. Adams Int."
"Bélgica","Bruselas","BRU","National"
"Bolivia","Cochabamba","CBB","Wilsterman"
"Bolivia","La Paz","LPB","El Alto"
"Bolivia","Sta. Cruz de la Sierra","VVI","Viru Viru Int."
"Bosnia","Sarajevo","SJJ","Butmir"
"Brasil","Belem","BEL","Val de Cans"
"Brasil","Belo Horizonte","CNF","Tancredo Neves"
"Brasil","Belo Horizonte","PLU","Pampulha"
"Brasil","Brasilia","BSB","International"
"Brasil","Campinas","CPQ","International"
"Brasil","Curitiba","CWB","Alfonso Pena"
"Brasil","Florianópolis","FLN","Hercilio Luz"
"Brasil","Fortaleza","FOR","Pinto Martins"
"Brasil","Foz de Iguazú","IGU","Cataratas"
"Brasil","Ilheus","IOS","Eduardo Gomes"
"Brasil","Maceió","MCZ","Palmares"
"Brasil","Manaos","MAO","Eduardo Gómes Int."
"Brasil","Porto Alegre","POA","Salgado Filho"
"Brasil","Porto Velho","PVH","Belmonte"
"Brasil","Recife","REC","Guararapes Int."
"Brasil","Río de Janeiro","GIG","International"
"Brasil","Río de Janeiro","SDU","Santos Dumont"
"Brasil","Salvador","SSA","Luis E. Magalhaes"
"Brasil","Sao Luiz","SLZ","Mal Cunha Macha"
"Brasil","Sao Paulo","CGH","Congonhas"
"Brasil","Sao Paulo","GRU","Guarulhos"
"Brasil","Sao Paulo","VCP","Viracopos"
"Brasil","Tabatinga","TBT","International"
"Bulgaria","Sofía","SOF","Vrazhdebna"
"Canadá","Montreal","YUL","Dorval"
"Canadá","Montreal","YMX","Mirabel Int."
"Canadá","Ottawa","YOW","International"
"Canadá","Toronto","YYZ","Pearson Int."
"Canadá","Toronto","YKZ","Buttonville"
"Canadá","Vancouver","YVR","International"
"CEI","Moscú","SVO","Sheremetyevo"
"CEI","Moscú","DME","Domodedovo"
"CEI","Moscú","VKO","Vnukovo"
"Chile","Antofagasta","ANF","Cerro Moreno"
"Chile","Arica","ARI","Chacalluta"
"Chile","Iquique","IQQ","Diego Aracena"
"Chile","Puerto Montt","PMC","Tepual"
"Chile","Punta Arenas","PUQ","Presidente Ibáñez"
"Chile","Santiago de Chile","SCL","A. M. Benítez"
"China","Beijing","BJS","Beijing"
"China","Shanghai","SHA","Hongqiao"
"Colombia","Barranquilla","BAQ","E. Cortissoz"
"Colombia","Bogotá","BOG","El Dorado"
"Colombia","Cali","CLO","A. Bonilla Aragón"
"Colombia","Cartagena","CTG","Rafael Nuñez Int."
"Colombia","Medellín","MDE","José María Cordova"
"Congo","Brazzaville","BZV","Maya Maya"
"Corea","Seúl","SEL","Incheon Internacional"
"Costa Rica","San José","SJO","Juan Santamaría Int."
"Cuba","Habana","HAV","José Martí Int."
"Cuba","Varadero","VRA","Juan Gualberto Gómez"
"Dinamarca","Copenhague","CPH","Copenhague"
"Ecuador","Guayaquil","GYE","Simón Bolívar"
"Ecuador","Quito","UIO","Mariscal Sucre"
"Egipto","El Cairo","CAI","International"
"El Salvador","San Salvador","SAL","Comalapa Int."
"Escocia","Glasgow","GLA","Glasgow"
"Escocia","Glasgow","PIK","Prestwick"
"Eslovaquia","Bratislava","BTS","Ivanka"
"Eslovenia","Ljulbjand","LJU","Brnik"
"España","Alicante","ALI","El Altet"
"España","Barcelona","BCN","El Prat"
"España","Bilbao","BIO","Sondica"
"España","Ibiza","IBZ","Ibiza"
"España","Lanzarote","ACE","Lanzarote"
"España","Las Palmas","LPA","Gando"
"España","Madrid","MAD","Barajas"
"España","Málaga","AGP","Pablo Picasso"
"España","Palma de Mallorca","PMI","Son San Juan"
"España","Stgo. de Compostela","SCQ","La Bacolla"
"España","Tenerife","TFN","Los Rodeos"
"España","Tenerife","TFS","Reina Sofía"
"España","Valencia","VLC","Manises"
"España","Vigo","VGO","Peinador"
"Filipinas","Manila","MNL","Ninoy Aquino Int."
"Finlandia","Helsinki","HEL","Helsinki-Vantaa"
"Francia","Lyon","LYS","Satolas"
"Francia","París","CDG","Charles de Gaulle"
"Francia","París","ORY","Orly"
"Grecia","Atenas","ATH","Eleftherios Venizelos"
"Guadalupe","Pointe a Pitre","PTP","Le Raizet"
"Guatemala","Guatemala","GUA","La Aurora"
"Guyana Fr.","Cayenne","CAY","Rochambeau"
"Guyana","Georgetown","GEO","Cheddi Jagan"
"Haiti","Port","PAP","International"
"Hawaii","Honolulu","HNL","International"
"Holanda","Amsterdam","AMS","Schiphol Int."
"Holanda","Rotterdam","RTM","Rotterdam"
